2020/02/02 13:16:45.493744 lucky, code=6016, gift=0, name=Mate30Pro 5G, link=, data=, left=19755 
2020/02/02 13:16:45.493744 lucky, code=6016, gift=0, name=Mate30Pro 5G, link=, data=, left=19754 
2020/02/02 13:16:45.493744 lucky, code=6016, gift=0, name=Mate30Pro 5G, link=, data=, left=19753 
2020/02/02 13:16:45.493744 lucky, code=6016, gift=0, name=Mate30Pro 5G, link=, data=, left=19752 
2020/02/02 13:16:45.493744 lucky, code=6016, gift=0, name=Mate30Pro 5G, link=, data=, left=19751 
2020/02/02 13:16:45.494742 lucky, code=6016, gift=0, name=Mate30Pro 5G, link=, data=, left=19750 
2020/02/02 13:16:45.494742 lucky, code=6466, gift=0, name=Mate30Pro 5G, link=, data=, left=19749 
2020/02/02 13:16:45.494742 lucky, code=6466, gift=0, name=Mate30Pro 5G, link=, data=, left=19748 
2020/02/02 13:16:45.495739 lucky, code=6466, gift=0, name=Mate30Pro 5G, link=, data=, left=19747 
2020/02/02 13:16:45.495739 lucky, code=2922, gift=0, name=Mate30Pro 5G, link=, data=, left=19746 
2020/02/02 13:16:45.495739 lucky, code=2922, gift=0, name=Mate30Pro 5G, link=, data=, left=19745 
